name,moisture,protein,fat,mineral,crude_fibre,carbohydrates,energy,calcium,phosphorus,iron,magnesium,sodium,potassium,copper,manganese,molybdenum,zinc,chromium,sulfur,chlorine,carotene,Thiamine_B1,Riboflavin_B2,Niacin_B3,Pyridoxine_B6_Total,Folic_Acid_Free ,Folic_Acid_total,Vitamin_C,choline,Approx_tot_Ng_per_100,Histidine,Lysine,Tryptophan,Phenylalanine,Methionine,Threonine,Leucine,Isoleucine,Valine,Arginine,Tyrosine,Cystine,Palmitic_acid,Stearic_acid,Arachidic,Behenic,Lignoceric,Total_SFA,Palmitoleic,Oleic,Total_MUFA,linoleic,linolenic,Total_PUFA,oxalic_acid,phytin_p,phytin_phosphorus_percentage,TDF_g,IDF_g,SDF_g
BRUSSELS SPROUTS,85.5,4.7,0.5,1,1.2,7.1,52,43,82,1.8,26,7.9,477,0.07,0,0,0,0,212,22,126,0.05,0.16,0.4,0,0,0,72,0,0.75,140,340,80,230,60,270,340,310,300,390,0,40,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,0,0
CABBAGE,91.9,1.8,0.1,0.6,1,4.6,27,39,44,0.8,31,0,0,0.02,0.18,0.08,0.3,0.01,0,0,120,0.06,0.09,0.4,0,13.3,23,124,120,0.29,130,240,70,200,60,220,340,230,260,450,120,70,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,2.8,2,0.8
CARROT LEAVES,76.6,5.1,0.5,2.8,1.9,13,77,340,110,8.8,0,0,0,0,0,0,0,0,0,0,5700,0.04,0.37,2.1,0,0,0,79,0,0.82,120,280,90,410,110,280,440,280,340,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAULIFLOWER GREENS,80,5.9,1.3,3.2,2,7.6,66,626,107,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELERY LEAVES,88,6.3,0.6,2.1,1.4,1.6,37,230,140,6.3,52,35.5,210,0.3,0,0,0,0,102,19,3990,0,0.11,1.2,0,0,0,62,0,0.13,90,150,80,280,140,210,430,240,300,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,4,0,0,0
CELERY STALK,93.5,0.8,0.1,0.9,1.2,3.5,18,30,38,4.8,0,0,0,0,0,0,0,0,0,0,520,0.12,0.05,0.3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,3,0,0,0
CHEKKUR MANIS,73.6,6.8,3.2,3.4,1.4,11.6,103,570,200,28,0,0,0,0,0,0,0,0,0,0,5706,0.48,0.32,2.6,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOCASIA LEAVES (black variety),78.8,6.8,2,2.5,1.8,8.1,77,460,125,0.98,32,0,0,0.18,0,0,0,0.01,0,72,12000,0.06,0.45,1.9,0,0,0,63,0,1.09,130,260,40,180,60,150,360,310,280,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOCASIA LEAVES (green variety),82.7,3.9,1.5,2.2,2.9,6.8,56,227,82,10,0,0,0,0,0,0,0,0,0,0,10278,0.22,0.26,1.1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,6.6,5.5,1.5
COLOCASIA LEAVES (dried),9.3,13.7,5.9,12.8,16,42.3,277,1546,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
